gene_id	gene_name	SRR2219873	SRR2219887	SRR2219889	SRR2219891	SRR2219895	SRR2219907
ENSG00000159231.6	CBR3	27.125	90.21	20.081	109.995	67.003	76.249
ENSG00000159239.13	ENSG00000159239	1.144	1.245	0	0	2.468	1.127
ENSG00000159247.14	TUBBP5	0	0	0	0	0	0
ENSG00000159248.5	GJD2	0	0	0	0	0	1
ENSG00000159251.10	ACTC1	265.19	10.002	2.001	0	1	2
ENSG00000159256.13	MORC3	359.999	370.001	317.006	294	512.258	576
ENSG00000159259.8	CHAF1B	84	110.999	25	115	234	178
ENSG00000159261.12	CLDN14	0	1	12	0	1	1
ENSG00000159263.16	SIM2	16	331	0	36	6	155
ENSG00000159267.17	HLCS	58	130	82	86	284.999	274.001
ENSG00000159289.6	GOLGA6A	0	0.84	0	0	0	2.001
ENSG00000159307.20	SCUBE1	2	27	3	1	4	8
ENSG00000159314.13	ARHGAP27	208.001	276.999	314.997	410	172	386.203
ENSG00000159322.18	ADPGK	228	565	846.001	501.001	642	343
ENSG00000159335.19	PTMS	177	427.999	592.999	591.999	885.001	506
ENSG00000159337.7	PLA2G4D	153	1	1	7	10	3
ENSG00000159339.13	PADI4	3	0	2	1	11	0
ENSG00000159346.13	ADIPOR1	501	599	799	428	1319	1056
ENSG00000159348.13	CYB5R1	348	181	260	171	990.999	371.001
ENSG00000159352.16	PSMD4	377.573	411.774	413.254	473.525	1079.482	812.305
ENSG00000159363.19	ATP13A2	194.999	239	152.999	179.001	514.001	335.999
ENSG00000159374.18	M1AP	14	5	22	3	1	22
ENSG00000159377.11	PSMB4	463	774	762	925	1574.001	1257
ENSG00000159387.8	IRX6	0	12.267	2	62	1.002	18.032
ENSG00000159388.6	BTG2	270	1944	1479	1162	798	643
ENSG00000159398.16	CES5A	2	0	0	0	0	0
ENSG00000159399.10	HK2	605.896	226	1297.853	103	1793.632	241
ENSG00000159403.18	C1R	240.46	2767.605	3619.785	571	2909.848	961.868
ENSG00000159409.15	CELF3	0	1	0	1	1	0
ENSG00000159423.17	ALDH4A1	82	96	70	137.999	159	127
ENSG00000159433.12	STARD9	15	111.001	118.001	63	64	22
ENSG00000159445.13	THEM4	46	122	76	136	181.001	175
ENSG00000159450.13	TCHH	8	0	16	11	1	21
ENSG00000159455.9	LCE2B	29.206	0	0	0	0	0
ENSG00000159459.12	UBR1	158	174.001	221.001	87	369	222
ENSG00000159461.15	AMFR	221	322	416.999	251.001	431	533
ENSG00000159479.17	MED8	139	184.001	184.999	136	419	187
ENSG00000159495.8	TGM7	0	0	0	2	0	0
ENSG00000159496.15	RGL4	2	13	12	30	8	0
ENSG00000159516.9	SPRR2G	1340.02	0	2	0	381.005	0
ENSG00000159527.4	PGLYRP3	76.733	18	7	39	47.437	48
ENSG00000159556.10	ISL2	1	22	2	8	11	4
ENSG00000159579.14	RSPRY1	209	177	197.999	166	395.001	392
ENSG00000159588.15	CCDC17	2	2	8	14.999	3	13
ENSG00000159592.11	GPBP1L1	402.001	664.999	603	735	1259	1073.002
ENSG00000159593.15	NAE1	285.999	170.001	138.001	179	566.001	677
ENSG00000159596.7	TMEM69	103	114	122	139	469	241
ENSG00000159618.16	ADGRG5	0	78	45.001	83	21	9
ENSG00000159625.15	DRC7	0	1	0	0	0	0
ENSG00000159640.17	ACE	87	87	494	27	189	60
ENSG00000159648.13	SPMIP8	6	7	1	9	0	0
ENSG00000159650.9	UROC1	0	1	0	3	0	0
ENSG00000159658.15	EFCAB14	496	795.999	969.999	312	1069.999	1054.998
ENSG00000159674.12	SPON2	328	128	206	53	442	55
ENSG00000159685.11	CHCHD6	11	44	63	46	129	25
